Rate;Available
0.09;577.0
0.09;595.0
0.09;940.0
0.09;417.0
0.09;781.0
0.09;823.0
0.09;284.0
0.09;885.0
0.09;552.0
0.09;698.0
0.09;738.0
0.09;974.0
0.09;406.0
0.09;335.0
0.09;996.0
0.09;538.0
0.09;917.0
0.09;468.0
0.09;163.0
0.09;135.0
0.09;781.0
0.09;814.0
0.09;766.0
0.09;325.0
0.09;461.0
0.09;447.0
0.09;871.0
0.09;867.0
0.09;940.0
0.09;902.0
0.09;185.0
0.09;876.0
0.09;626.0
0.09;550.0
0.09;143.0
0.09;399.0
0.09;327.0
0.09;551.0
0.09;702.0
0.09;188.0
0.09;659.0
0.09;914.0
0.09;582.0
0.09;664.0
0.09;498.0
0.09;673.0
0.09;219.0
0.09;446.0
0.09;403.0
0.09;725.0
0.09;890.0
0.09;480.0
0.09;212.0
0.09;726.0
0.09;521.0
0.09;925.0
0.09;911.0
0.09;975.0
0.09;373.0
0.09;295.0
0.09;255.0
0.09;482.0
0.09;437.0
0.09;273.0
0.09;136.0
0.09;689.0
0.09;439.0
0.09;657.0
0.09;624.0
0.09;595.0
0.09;919.0
0.09;906.0
0.09;147.0
0.09;502.0
0.09;781.0
0.09;174.0
0.09;320.0
0.09;132.0
0.09;524.0
0.09;788.0
0.09;806.0
0.09;644.0
0.09;969.0
0.09;815.0
0.09;619.0
0.09;105.0
0.09;171.0
0.09;583.0
0.09;541.0
0.1;932.0
0.1;962.0
0.1;394.0
0.1;973.0
0.1;199.0
0.1;321.0
0.1;408.0
0.1;622.0
0.1;946.0
0.1;885.0
0.1;880.0
0.1;654.0
0.1;855.0
0.1;591.0
0.1;514.0
0.1;486.0
0.1;527.0
0.1;713.0
0.1;898.0
0.1;133.0
0.1;420.0
0.1;578.0
0.1;849.0
0.1;959.0
0.1;448.0
0.1;133.0
0.1;497.0
0.1;511.0
0.1;969.0
0.1;149.0
0.1;718.0
0.1;437.0
0.1;602.0
0.1;694.0
0.1;840.0
0.1;963.0
0.1;559.0
0.1;348.0
0.1;786.0
0.1;422.0
0.1;217.0
0.1;153.0
0.1;791.0
0.1;843.0
0.1;525.0
0.1;398.0
0.1;193.0
0.1;249.0
0.1;456.0
0.1;950.0
0.1;719.0
0.1;905.0
0.1;716.0
0.1;545.0
0.1;765.0
0.1;437.0
0.1;163.0
0.1;380.0
0.1;848.0
0.1;918.0
0.1;659.0
0.1;790.0
0.1;940.0
0.1;471.0
0.1;989.0
0.1;101.0
0.1;162.0
0.1;230.0
0.1;269.0
0.1;955.0
0.1;925.0
0.1;719.0
0.1;253.0
0.1;429.0
0.1;478.0
0.1;136.0
0.1;325.0
0.1;553.0
0.1;379.0
0.1;412.0
0.1;318.0
0.1;329.0
0.1;115.0
0.1;543.0
0.1;319.0
0.1;407.0
0.1;599.0
0.1;782.0
0.1;191.0
0.1;949.0
0.1;636.0
0.1;829.0
0.1;142.0
0.1;875.0
0.1;619.0
0.1;838.0
0.1;636.0
0.1;260.0
0.1;287.0
0.1;323.0
0.1;339.0
0.1;899.0
0.1;765.0
0.1;964.0
0.1;598.0
0.1;540.0
0.10400000000000001;170.0
0.10400000000000001;170.0
0.10400000000000001;170.0
0.11;682.0
0.11;866.0
0.11;183.0
0.11;454.0
0.11;515.0
0.11;136.0
0.11;346.0
0.11;264.0
0.11;767.0
0.11;833.0
0.11;210.0
0.11;941.0
0.11;553.0
0.11;229.0
0.11;461.0
0.11;632.0
0.11;866.0
0.11;878.0
0.11;178.0
0.11;650.0
0.11;319.0
0.11;528.0
0.11;863.0
0.11;291.0
0.11;671.0
0.11;919.0
0.11;998.0
0.11;369.0
0.11;997.0
0.11;471.0
0.11;833.0
0.11;614.0
0.11;309.0
0.11;483.0
0.11;874.0
0.11;598.0
0.11;582.0
0.11;793.0
0.11;780.0
0.11;512.0
0.11;920.0
0.11;723.0
0.11;938.0
0.11;857.0
0.11;322.0
0.11;401.0
0.11;666.0
0.11;238.0
0.11;969.0
0.11;110.0
0.11;661.0
0.11;956.0
0.11;205.0
0.11;239.0
0.11;306.0
0.11;785.0
0.11;418.0
0.11;995.0
0.11;431.0
0.11;448.0
0.11;879.0
0.11;785.0
0.11;115.0
0.11;744.0
0.11;481.0
0.11;685.0
0.11;321.0
0.11;532.0
0.11;757.0
0.11;476.0
0.11;113.0
0.11;531.0
0.11;667.0
0.11;547.0
0.11;926.0
0.11;836.0
0.11;190.0
0.11;160.0
0.11;452.0
0.11;687.0
0.11;150.0
0.11;911.0
0.11;460.0
0.11;745.0
0.11;716.0
0.11;632.0
0.11;589.0
0.11;569.0
0.11;708.0
0.11;695.0
0.11;675.0
0.11;716.0
0.11;435.0
0.11;925.0
0.11;908.0
0.11;210.0
0.11;926.0
0.11;704.0
0.11;964.0
0.11;592.0
0.11;757.0
0.11;103.0
0.11;508.0
0.11;134.0
0.11;996.0
0.11;735.0
0.11;152.0
0.11;534.0
0.11;456.0
0.11;681.0
0.11;582.0
0.11;686.0
0.11;463.0
0.11;144.0
0.11;376.0
0.11;937.0
0.11;712.0
0.11;698.0
0.11;746.0
0.11;686.0
0.11;103.0
0.11;660.0
0.11;590.0
0.11;753.0
0.11;478.0
0.11;153.0
0.11;845.0
0.11;424.0
0.11;957.0
0.11;333.0
0.11;263.0
0.11;172.0
0.11;737.0
0.11;524.0
0.11;775.0
0.11;329.0
0.11;616.0
0.11;787.0
0.11;681.0
0.12;588.0
0.12;139.0
0.12;923.0
0.12;769.0
0.12;562.0
0.12;165.0
0.12;969.0
0.12;919.0
0.12;753.0
0.12;143.0
0.12;729.0
0.12;768.0
0.12;937.0
0.12;728.0
0.12;943.0
0.12;593.0
0.12;598.0
0.12;732.0
0.12;622.0
0.12;588.0
0.12;157.0
0.12;898.0
0.12;561.0
0.12;212.0
0.12;316.0
0.12;853.0
0.12;636.0
0.12;923.0
0.12;973.0
0.12;768.0
0.12;303.0
0.12;668.0
0.12;198.0
0.12;156.0
0.12;654.0
0.12;875.0
0.12;788.0
0.12;192.0
0.12;366.0
0.12;338.0
0.12;370.0
0.12;904.0
0.12;616.0
0.12;477.0
0.12;901.0
0.12;171.0
0.12;182.0
0.12;552.0
0.12;584.0
0.12;520.0
0.12;403.0
0.12;745.0
0.12;909.0
0.12;247.0
0.12;938.0
0.12;246.0
0.12;793.0
0.12;186.0
0.12;352.0
0.12;338.0
0.12;188.0
0.12;139.0
0.12;648.0
0.12;532.0
0.12;972.0
0.12;138.0
0.12;258.0
0.12;595.0
0.12;943.0
0.12;710.0
0.12;721.0
0.12;453.0
0.12;555.0
0.12;725.0
0.12;865.0
0.12;421.0
0.12;369.0
0.12;584.0
0.12;304.0
0.12;352.0
0.12;575.0
0.12;742.0
0.12;314.0
0.12;999.0
0.12;886.0
0.12;510.0
0.12;974.0
0.12;617.0
0.12;945.0
0.12;724.0
0.12;354.0
0.12;959.0
0.12;873.0
0.12;988.0
0.12;833.0
0.12;869.0
0.12;856.0
0.12;685.0
0.12;827.0
0.12;470.0
0.12;791.0
0.12;929.0
0.12;679.0
0.12;436.0
0.12;409.0
0.12;554.0
0.12;159.0
0.12;392.0
0.12;322.0
0.12;418.0
0.12;753.0
0.12;558.0
0.12;695.0
0.12;283.0
0.12;133.0
0.12;475.0
0.12;128.0
0.12;496.0
0.12;315.0
0.12;409.0
0.12;169.0
0.12;737.0
0.12;485.0
0.12;344.0
0.12;116.0
0.12;349.0
0.12;335.0
0.12;546.0
0.12;356.0
0.12;988.0
0.12;109.0
0.12;391.0
0.12;907.0
0.12;608.0
0.12;703.0
0.12;873.0
0.12;354.0
0.12;567.0
0.12;492.0
0.12;233.0
0.12;430.0
0.12;624.0
0.12;506.0
0.13;399.0
0.13;551.0
0.13;263.0
0.13;144.0
0.13;839.0
0.13;404.0
0.13;646.0
0.13;136.0
0.13;993.0
0.13;198.0
0.13;644.0
0.13;583.0
0.13;416.0
0.13;499.0
0.13;412.0
0.13;717.0
0.13;329.0
0.13;207.0
0.13;900.0
0.13;265.0
0.13;468.0
0.13;773.0
0.13;227.0
0.13;729.0
0.13;351.0
0.13;613.0
0.13;681.0
0.13;137.0
0.13;885.0
0.13;500.0
0.13;886.0
0.13;166.0
0.13;415.0
0.13;432.0
0.13;371.0
0.13;704.0
0.13;782.0
0.13;384.0
0.13;535.0
0.13;659.0
0.13;948.0
0.13;428.0
0.13;203.0
0.13;695.0
0.13;848.0
0.13;482.0
0.13;799.0
0.13;293.0
0.13;893.0
0.13;663.0
0.13;536.0
0.13;960.0
0.13;460.0
0.13;414.0
0.13;318.0
0.13;729.0
0.13;428.0
0.13;630.0
0.13;511.0
0.13;337.0
0.13;202.0
0.13;244.0
0.13;617.0
0.13;920.0
0.13;786.0
0.13;990.0
0.13;382.0
0.13;929.0
0.13;408.0
0.13;139.0
0.13;416.0
0.13;899.0
0.13;376.0
0.13;269.0
0.13;413.0
0.13;379.0
0.13;362.0
0.13;279.0
0.13;917.0
0.13;126.0
0.13;523.0
0.13;938.0
0.13;254.0
0.13;680.0
0.13;641.0
0.13;977.0
0.13;561.0
0.13;732.0
0.13;736.0
0.13;141.0
0.13;470.0
0.13;186.0
0.13;433.0
0.13;111.0
0.13;748.0
0.13;478.0
0.13;351.0
0.13;373.0
0.13;510.0
0.13;665.0
0.13;929.0
0.13;159.0
0.13;787.0
0.13;305.0
0.13;238.0
0.13;681.0
0.13;489.0
0.13;970.0
0.13;544.0
0.13;405.0
0.13;826.0
0.13;564.0
0.13;514.0
0.13;192.0
0.13;786.0
0.13;110.0
0.13;246.0
0.13;736.0
0.13;148.0
0.13;110.0
0.13;938.0
0.13;863.0
0.13;139.0
0.13;485.0
0.13;430.0
0.13;386.0
0.13;589.0
0.13;129.0
0.13;714.0
0.13;489.0
0.13;997.0
0.13;408.0
0.13;924.0
0.13;621.0
0.13;442.0
0.13;916.0
0.13;193.0
0.13;658.0
0.13;540.0
0.13;724.0
0.13;388.0
0.13;336.0
0.13;900.0
0.13;184.0
0.13;760.0
0.13;781.0
0.13;201.0
0.13;633.0
0.13;742.0
0.13;693.0
0.13;390.0
0.14;878.0
0.14;181.0
0.14;154.0
0.14;409.0
0.14;730.0
0.14;161.0
0.14;290.0
0.14;267.0
0.14;160.0
0.14;627.0
0.14;812.0
0.14;803.0
0.14;628.0
0.14;733.0
0.14;755.0
0.14;862.0
0.14;152.0
0.14;551.0
0.14;285.0
0.14;821.0
0.14;224.0
0.14;285.0
0.14;230.0
0.14;771.0
0.14;939.0
0.14;589.0
0.14;267.0
0.14;860.0
0.14;161.0
0.14;758.0
0.14;588.0
0.14;917.0
0.14;440.0
0.14;710.0
0.14;327.0
0.14;486.0
0.14;643.0
0.14;992.0
0.14;111.0
0.14;548.0
0.14;461.0
0.14;999.0
0.14;515.0
0.14;110.0
0.14;254.0
0.14;999.0
0.14;494.0
0.14;205.0
0.14;188.0
0.14;398.0
0.14;764.0
0.14;833.0
0.14;367.0
0.14;429.0
0.14;927.0
0.14;943.0
0.14;751.0
0.14;133.0
0.14;723.0
0.14;127.0
0.14;159.0
0.14;711.0
0.14;407.0
0.14;234.0
0.14;361.0
0.14;717.0
0.14;312.0
0.14;889.0
0.14;664.0
0.14;988.0
0.14;510.0
0.14;837.0
0.14;560.0
0.14;856.0
0.14;987.0
0.14;610.0
0.14;162.0
0.14;722.0
0.14;587.0
0.14;264.0
0.14;628.0
0.14;140.0
0.14;963.0
0.14;800.0
0.14;509.0
0.14;321.0
0.14;885.0
0.14;380.0
0.14;111.0
0.14;683.0
0.14;724.0
0.14;172.0
0.14;390.0
0.14;198.0
0.14;687.0
0.14;150.0
0.14;586.0
0.14;392.0
0.14;887.0
0.14;441.0
0.14;963.0
0.14;400.0
0.14;932.0
0.14;838.0
0.14;855.0
0.14;988.0
0.14;488.0
0.14;149.0
0.14;348.0
0.14;371.0
0.14;925.0
0.14;277.0
0.14;545.0
0.14;213.0
0.14;787.0
0.14;272.0
0.14;825.0
0.14;214.0
0.14;558.0
0.14;264.0
0.14;220.0
0.14;822.0
0.14;424.0
0.14;910.0
0.14;775.0
0.14;508.0
0.14;220.0
0.14;401.0
0.14;467.0
0.14;270.0
0.14;899.0
0.14;101.0
0.14;764.0
0.15;413.0
0.15;255.0
0.15;198.0
0.15;529.0
0.15;889.0
0.15;480.0
0.15;421.0
0.15;767.0
0.15;487.0
0.15;799.0
0.15;359.0
0.15;790.0
0.15;984.0
0.15;558.0
0.15;731.0
0.15;933.0
0.15;603.0
0.15;650.0
0.15;886.0
0.15;426.0
0.15;534.0
0.15;684.0
0.15;429.0
0.15;798.0
0.15;956.0
0.15;231.0
0.15;807.0
0.15;667.0
0.15;239.0
0.15;154.0
0.15;385.0
0.15;806.0
0.15;391.0
0.15;383.0
0.15;570.0
0.15;332.0
0.15;315.0
0.15;422.0
0.15;327.0
0.15;829.0
0.15;608.0
0.15;337.0
0.15;557.0
0.15;247.0
0.15;559.0
0.15;778.0
0.15;286.0
0.15;288.0
0.15;581.0
0.15;982.0
0.15;313.0
0.15;441.0
0.15;371.0
0.15;756.0
0.15;570.0
0.15;463.0
0.15;457.0
0.15;403.0
0.15;723.0
0.15;187.0
0.15;728.0
0.15;984.0
0.15;612.0
0.15;192.0
0.15;623.0
0.15;321.0
0.15;919.0
0.15;488.0
0.15;213.0
0.15;242.0
0.15;470.0
0.15;364.0
0.15;773.0
0.15;880.0
0.15;731.0
0.15;139.0
0.15;411.0
0.15;864.0
0.15;252.0
0.15;869.0
0.15;563.0
0.15;803.0
0.15;470.0
0.15;767.0
0.15;201.0
0.15;175.0
0.15;406.0
0.15;702.0
0.15;116.0
0.15;425.0
0.15;387.0
0.15;405.0
0.15;149.0
0.15;769.0
0.15;292.0
0.15;949.0
0.15;124.0
0.15;341.0
0.15;451.0
0.15;262.0
0.15;321.0
0.15;806.0
0.15;747.0
0.15;789.0
0.15;643.0
0.15;479.0
0.15;307.0
0.15;113.0
0.15;662.0
0.15;405.0
0.15;817.0
0.15;430.0
0.15;952.0
0.15;454.0
0.15;812.0
0.15;455.0
0.15;972.0
0.15;506.0
0.15;826.0
0.15;630.0
0.15;152.0
0.15;670.0
0.15;649.0
0.15;370.0
0.15;680.0
0.15;150.0
0.15;266.0
0.15;591.0
0.15;920.0
0.15;547.0
0.15;440.0
0.15;607.0
0.15;630.0
0.15;559.0
0.15;338.0
0.15;654.0
0.15;214.0
0.16;212.0
0.16;692.0
0.16;209.0
0.16;834.0
0.16;528.0
0.16;666.0
0.16;851.0
0.16;314.0
0.16;676.0
0.16;944.0
0.16;863.0
0.16;202.0
0.16;237.0
0.16;524.0
0.16;612.0
0.16;381.0
0.16;439.0
0.16;965.0
0.16;574.0
0.16;306.0
0.16;425.0
0.16;464.0
0.16;115.0
0.16;121.0
0.16;561.0
0.16;655.0
0.16;937.0
0.16;878.0
0.16;685.0
0.16;656.0
0.16;718.0
0.16;335.0
0.16;502.0
0.16;897.0
0.16;765.0
0.16;967.0
0.16;476.0
0.16;369.0
0.16;993.0
0.16;838.0
0.16;203.0
0.16;571.0
0.16;934.0
0.16;256.0
0.16;914.0
0.16;381.0
0.16;555.0
0.16;517.0
0.16;129.0
0.16;828.0
0.16;191.0
0.16;771.0
0.16;316.0
0.16;539.0
0.16;473.0
0.16;489.0
0.16;301.0
0.16;810.0
0.16;277.0
0.16;137.0
0.16;740.0
0.16;347.0
0.16;253.0
0.16;440.0
0.16;928.0
0.16;872.0
0.16;858.0
0.16;349.0
0.16;219.0
0.16;234.0
0.16;269.0
0.16;229.0
0.16;846.0
0.16;844.0
0.16;823.0
0.16;921.0
0.16;161.0
0.16;645.0
0.16;132.0
0.16;168.0
0.16;423.0
0.16;291.0
0.16;520.0
0.16;536.0
0.16;165.0
0.16;557.0
0.16;413.0
0.16;780.0
0.16;339.0
0.16;267.0
0.16;474.0
0.16;433.0
0.16;449.0
0.16;790.0
0.16;291.0
0.16;360.0
0.16;955.0
0.16;533.0
0.16;473.0
0.16;545.0
0.16;210.0
0.16;519.0
0.16;942.0
0.16;302.0
0.16;289.0
0.16;365.0
0.16;536.0
0.16;253.0
0.16;187.0
0.16;453.0
0.16;853.0
0.16;409.0
0.16;764.0
0.16;383.0
0.16;694.0
0.16;208.0
0.16;589.0
0.16;780.0
0.16;514.0
0.16;898.0
0.16;561.0
0.16;906.0
0.16;571.0
0.16;188.0
0.16;842.0
0.16;173.0
0.16;112.0
0.16;805.0
0.16;394.0
0.17;504.0
0.17;260.0
0.17;674.0
0.17;719.0
0.17;777.0
0.17;702.0
0.17;364.0
0.17;192.0
0.17;986.0
0.17;644.0
0.17;258.0
0.17;528.0
0.17;926.0
0.17;239.0
0.17;780.0
0.17;947.0
0.17;904.0
0.17;995.0
0.17;831.0
0.17;606.0
0.17;282.0
0.17;319.0
0.17;548.0
0.17;656.0
0.17;882.0
0.17;102.0
0.17;559.0
0.17;883.0
0.17;691.0
0.17;532.0
0.17;436.0
0.17;980.0
0.17;271.0
0.17;954.0
0.17;579.0
0.17;533.0
0.17;418.0
0.17;443.0
0.17;936.0
0.17;272.0
0.17;883.0
0.17;317.0
0.17;483.0
0.17;384.0
0.17;930.0
0.17;143.0
0.17;653.0
0.17;625.0
0.17;339.0
0.17;794.0
0.17;246.0
0.17;184.0
0.17;161.0
0.17;581.0
0.17;940.0
0.17;452.0
0.17;949.0
0.17;646.0
0.17;258.0
0.17;432.0
0.17;426.0
0.17;107.0
0.17;789.0
0.17;237.0
0.17;574.0
0.17;936.0
0.17;678.0
0.17;930.0
0.17;756.0
0.17;487.0
0.17;822.0
0.17;433.0
0.17;210.0
0.17;877.0
0.17;864.0
0.17;946.0
0.17;397.0
0.17;408.0
0.17;110.0
0.17;968.0
0.17;257.0
0.17;954.0
0.17;775.0
0.17;440.0
0.17;784.0
0.17;564.0
0.17;973.0
0.17;467.0
0.17;879.0
0.17;626.0
0.17;484.0
0.17;358.0
0.17;959.0
0.17;171.0
0.17;680.0
0.17;702.0
0.17;371.0
0.17;303.0
0.17;365.0
0.17;986.0
0.17;180.0
0.17;912.0
0.17;214.0
0.17;605.0
0.17;806.0
0.17;703.0
0.17;763.0
0.17;693.0
0.17;872.0
0.17;645.0
0.17;944.0
0.17;472.0
0.17;673.0
0.17;248.0
0.17;990.0
0.17;934.0
0.17;824.0
0.17;274.0
0.17;377.0
0.17;561.0
0.17;545.0
0.18;773.0
0.18;421.0
0.18;772.0
0.18;139.0
0.18;984.0
0.18;654.0
0.18;556.0
0.18;401.0
0.18;131.0
0.18;482.0
0.18;209.0
0.18;862.0
0.18;284.0
0.18;956.0
0.18;985.0
0.18;954.0
0.18;498.0
0.18;697.0
0.18;594.0
0.18;412.0
0.18;233.0
0.18;598.0
0.18;346.0
0.18;588.0
0.18;545.0
0.18;166.0
0.18;664.0
0.18;126.0
0.18;139.0
0.18;205.0
0.18;961.0
0.18;693.0
0.18;219.0
0.18;661.0
0.18;165.0
0.18;392.0
0.18;427.0
0.18;567.0
0.18;483.0
0.18;641.0
0.18;743.0
0.18;376.0
0.18;396.0
0.18;798.0
0.18;863.0
0.18;977.0
0.18;523.0
0.18;377.0
0.18;164.0
0.18;571.0
0.18;726.0
0.18;370.0
0.18;971.0
0.18;548.0
0.18;153.0
0.18;845.0
0.18;570.0
0.18;588.0
0.18;188.0
0.18;551.0
0.18;148.0
0.18;994.0
0.18;630.0
0.18;506.0
0.18;952.0
0.18;366.0
0.18;705.0
0.18;985.0
0.18;731.0
0.18;183.0
0.18;308.0
0.18;966.0
0.18;511.0
0.18;936.0
0.18;381.0
0.18;647.0
0.18;289.0
0.18;209.0
0.18;597.0
0.18;139.0
0.18;513.0
0.18;672.0
0.18;479.0
0.18;108.0
0.18;405.0
0.18;789.0
0.18;589.0
0.18;710.0
0.18;307.0
0.18;683.0
0.18;196.0
0.18;156.0
0.18;566.0
0.18;232.0
0.18;472.0
0.18;550.0
0.18;592.0
0.18;324.0
0.18;399.0
0.18;874.0
0.18;175.0
0.18;482.0
0.18;223.0
0.18;323.0
0.18;387.0
0.18;795.0
0.18;739.0
0.18;400.0
0.18;351.0
0.18;667.0
0.18;936.0
0.18;869.0
0.18;636.0
0.18;836.0
0.18;818.0
0.18;615.0
0.18;237.0
0.18;231.0
0.18;848.0
0.18;162.0
0.18;195.0
0.18;509.0
0.18;899.0
0.18;424.0
0.18;639.0
0.18;919.0
0.18;917.0
0.18;373.0
0.18;974.0
0.18;403.0
0.18;434.0
0.18;972.0
0.18;740.0
0.18;758.0
0.19;626.0
0.19;690.0
0.19;311.0
0.19;300.0
0.19;659.0
0.19;174.0
0.19;305.0
0.19;874.0
0.19;323.0
0.19;660.0
0.19;453.0
0.19;263.0
0.19;828.0
0.19;976.0
0.19;477.0
0.19;464.0
0.19;101.0
0.19;797.0
0.19;733.0
0.19;613.0
0.19;270.0
0.19;963.0
0.19;392.0
0.19;436.0
0.19;207.0
0.19;781.0
0.19;802.0
0.19;674.0
0.19;459.0
0.19;503.0
0.19;650.0
0.19;746.0
0.19;276.0
0.19;661.0
0.19;795.0
0.19;871.0
0.19;265.0
0.19;426.0
0.19;481.0
0.19;361.0
0.19;933.0
0.19;529.0
0.19;242.0
0.19;569.0
0.19;896.0
0.19;461.0
0.19;951.0
0.19;405.0
0.19;600.0
0.19;261.0
0.19;372.0
0.19;491.0
0.19;372.0
0.19;141.0
0.19;767.0
0.19;227.0
0.19;330.0
0.19;104.0
0.19;546.0
0.19;718.0
0.19;289.0
0.19;929.0
0.19;514.0
0.19;855.0
0.19;132.0
0.19;418.0
0.19;434.0
0.19;561.0
0.19;852.0
0.19;686.0
0.19;223.0
0.19;231.0
0.19;643.0
0.19;356.0
0.19;553.0
0.19;882.0
0.19;853.0
0.19;876.0
0.19;520.0
0.19;198.0
0.19;379.0
0.19;810.0
0.19;505.0
0.19;681.0
0.19;401.0
0.19;293.0
0.19;872.0
0.19;934.0
0.19;161.0
0.19;299.0
0.19;273.0
0.19;819.0
0.19;732.0
0.19;759.0
0.19;985.0
0.19;690.0
0.19;213.0
0.19;104.0
0.19;442.0
0.19;756.0
0.19;860.0
0.19;856.0
0.19;752.0
0.19;315.0
0.19;133.0
0.19;853.0
0.19;352.0
0.19;698.0
0.19;168.0
0.19;407.0
0.19;487.0
0.19;313.0
0.19;874.0
0.19;207.0
0.19;988.0
0.19;266.0
0.19;128.0
0.19;183.0
0.19;155.0
0.19;912.0
0.19;399.0
0.19;969.0
0.19;508.0
0.19;409.0
0.19;121.0
0.19;113.0
0.19;436.0
0.19;745.0
0.19;155.0
0.19;540.0
0.19;281.0
0.19;617.0
0.19;487.0
0.19;305.0
0.19;130.0
0.19;621.0
0.19;709.0
0.19;133.0
0.19;208.0
0.19;354.0
0.19;533.0
0.19;207.0
0.19;867.0
0.19;278.0
0.19;280.0
0.19;558.0
0.19;539.0
0.19;448.0
0.19;506.0
0.19;279.0
0.2;330.0
0.2;622.0
0.2;296.0
0.2;132.0
0.2;334.0
0.2;869.0
0.2;245.0
0.2;213.0
0.2;228.0
0.2;850.0
0.2;786.0
0.2;268.0
0.2;121.0
0.2;472.0
0.2;388.0
0.2;846.0
0.2;541.0
0.2;741.0
0.2;430.0
0.2;547.0
0.2;240.0
0.2;179.0
0.2;207.0
0.2;472.0
0.2;706.0
0.2;186.0
0.2;811.0
0.2;338.0
0.2;816.0
0.2;833.0
0.2;797.0
0.2;667.0
0.2;582.0
0.2;271.0
0.2;859.0
0.2;556.0
0.2;862.0
0.2;837.0
0.2;436.0
0.2;136.0
0.2;831.0
0.2;462.0
0.2;376.0
0.2;415.0
0.2;804.0
0.2;477.0
0.2;368.0
0.2;918.0
0.2;258.0
0.2;917.0
0.2;134.0
0.2;102.0
0.2;498.0
0.2;969.0